,date_of_enquiry,departure,destination,flight_date,flight_time,arrival_time,airline,layovers,flight_duration,price
0,2023-12-10,Cluj,Istanbul,2023-12-20,09:30,12:20,AF,0,110,299
1,2023-12-10,Cluj,Istanbul,2023-12-20,14:15,18:40,AF,1,205,179
2,2023-12-10,Cluj,Istanbul,2023-12-20,14:15,18:40,AF,1,205,211
3,2023-12-10,Cluj,Istanbul,2023-12-20,14:15,18:40,AF,1,205,222
4,2023-12-10,Cluj,Istanbul,2023-12-20,08:40,14:00,AF,1,260,230
5,2023-12-10,Cluj,Istanbul,2023-12-20,18:30,23:35,AF,1,245,367
6,2023-12-10,Cluj,Istanbul,2023-12-20,07:00,12:45,TK,1,285,349
7,2023-12-10,Cluj,Istanbul,2023-12-20,08:40,18:40,TK,1,540,179
8,2023-12-10,Cluj,Istanbul,2023-12-20,08:40,18:40,RO,1,540,211
9,2023-12-10,Cluj,Istanbul,2023-12-20,08:40,17:55,RO,1,495,243
10,2023-12-10,Cluj,Istanbul,2023-12-20,08:40,18:40,TK,1,540,222
11,2023-12-10,Cluj,Istanbul,2023-12-20,08:40,17:55,TK,1,495,251
12,2023-12-10,Cluj,Istanbul,2023-12-20,06:10,16:50,RO,1,580,221
13,2023-12-10,Cluj,Istanbul,2023-12-20,14:15,23:35,TK,1,500,291
14,2023-12-10,Cluj,Istanbul,2023-12-20,14:15,23:35,RO,1,500,301
15,2023-12-10,Cluj,Istanbul,2023-12-20,14:15,23:35,TK,1,500,326
16,2023-12-10,Cluj,Istanbul,2023-12-20,13:55,00:35,RO,1,580,281
17,2023-12-10,Cluj,Istanbul,2023-12-20,07:30,21:00,PC,1,750,232
18,2023-12-10,Cluj,Istanbul,2023-12-20,10:45,19:30,RO,1,465,390
19,2023-12-10,Cluj,Istanbul,2023-12-20,07:00,18:40,PC,1,640,267
20,2023-12-10,Cluj,Istanbul,2023-12-20,10:45,23:10,H,1,685,267
21,2023-12-10,Cluj,Istanbul,2023-12-20,15:05,06:45,RO,2,880,155
22,2023-12-10,Cluj,Istanbul,2023-12-20,13:55,23:10,H,2,495,296
23,2023-12-10,Cluj,Istanbul,2023-12-20,08:40,17:55,RO,1,495,374
24,2023-12-10,Cluj,Istanbul,2023-12-20,19:50,10:50,H,1,840,208
25,2023-12-10,Cluj,Istanbul,2023-12-20,10:45,18:00,RO,1,375,534
26,2023-12-10,Cluj,Istanbul,2023-12-20,19:50,10:50,H,1,840,222
27,2023-12-10,Cluj,Istanbul,2023-12-20,14:15,06:45,RO,2,930,190
28,2023-12-10,Cluj,Istanbul,2023-12-20,15:05,06:45,RO,2,880,214
29,2023-12-10,Cluj,Istanbul,2023-12-20,18:30,10:50,RO,1,920,256
30,2023-12-10,Cluj,Istanbul,2023-12-21,21:45,00:30,AF,0,105,191
31,2023-12-10,Cluj,Istanbul,2023-12-21,05:25,10:50,AF,1,265,208
32,2023-12-10,Cluj,Istanbul,2023-12-21,05:25,10:50,AF,1,265,222
33,2023-12-10,Cluj,Istanbul,2023-12-21,14:15,19:50,AF,1,275,284
34,2023-12-10,Cluj,Istanbul,2023-12-21,19:00,23:35,AF,1,215,433
35,2023-12-10,Cluj,Istanbul,2023-12-21,07:00,12:45,AF,1,285,461
36,2023-12-10,Cluj,Istanbul,2023-12-21,08:40,18:40,TK,1,540,223
37,2023-12-10,Cluj,Istanbul,2023-12-21,08:40,18:40,TK,1,540,231
38,2023-12-10,Cluj,Istanbul,2023-12-21,07:00,12:45,RO,1,285,493
39,2023-12-10,Cluj,Istanbul,2023-12-21,07:00,12:45,RO,1,285,499
40,2023-12-10,Cluj,Istanbul,2023-12-21,17:00,23:35,RO,1,335,435
41,2023-12-10,Cluj,Istanbul,2023-12-21,06:00,16:50,TK,1,590,239
42,2023-12-10,Cluj,Istanbul,2023-12-21,07:10,17:20,RO,1,550,260
43,2023-12-10,Cluj,Istanbul,2023-12-21,07:00,12:45,TK,1,285,531
44,2023-12-10,Cluj,Istanbul,2023-12-21,07:10,18:15,RO,1,605,240
45,2023-12-10,Cluj,Istanbul,2023-12-21,05:25,12:45,PC,1,380,406
46,2023-12-10,Cluj,Istanbul,2023-12-21,17:00,23:35,RO,1,335,478
47,2023-12-10,Cluj,Istanbul,2023-12-21,08:40,17:55,PC,1,495,311
48,2023-12-10,Cluj,Istanbul,2023-12-21,05:25,12:45,H,1,380,422
49,2023-12-10,Cluj,Istanbul,2023-12-21,08:40,17:55,RO,1,495,320
50,2023-12-10,Cluj,Istanbul,2023-12-21,14:15,23:35,H,1,500,330
51,2023-12-10,Cluj,Istanbul,2023-12-21,08:40,19:50,RO,1,610,290
52,2023-12-10,Cluj,Istanbul,2023-12-21,07:00,19:50,H,1,710,251
53,2023-12-10,Cluj,Istanbul,2023-12-21,14:15,23:35,RO,1,500,361
54,2023-12-10,Cluj,Istanbul,2023-12-21,14:15,23:35,H,1,500,374
55,2023-12-10,Cluj,Istanbul,2023-12-21,05:25,18:40,RO,1,735,248
56,2023-12-10,Cluj,Istanbul,2023-12-21,07:00,18:40,TK,1,640,311
57,2023-12-10,Cluj,Istanbul,2023-12-21,08:40,18:40,TK,1,540,376
58,2023-12-10,Cluj,Istanbul,2023-12-21,21:50,10:50,TK,1,720,267
59,2023-12-10,Cluj,Istanbul,2023-12-21,07:00,19:50,TK,1,710,295
60,2023-12-10,Cluj,Istanbul,2023-12-22,09:30,12:20,AF,0,110,237
61,2023-12-10,Cluj,Istanbul,2023-12-22,14:15,18:40,AF,1,205,256
62,2023-12-10,Cluj,Istanbul,2023-12-22,14:15,18:40,AF,1,205,262
63,2023-12-10,Cluj,Istanbul,2023-12-22,05:25,10:50,AF,1,265,272
64,2023-12-10,Cluj,Istanbul,2023-12-22,05:25,10:50,AF,1,265,273
65,2023-12-10,Cluj,Istanbul,2023-12-22,06:30,10:50,AF,1,200,375
66,2023-12-10,Cluj,Istanbul,2023-12-22,06:30,13:20,TK,1,350,276
67,2023-12-10,Cluj,Istanbul,2023-12-22,07:00,13:20,TK,1,320,319
68,2023-12-10,Cluj,Istanbul,2023-12-22,05:25,13:20,TK,1,415,287
69,2023-12-10,Cluj,Istanbul,2023-12-22,18:30,23:40,TK,1,250,494
70,2023-12-10,Cluj,Istanbul,2023-12-22,18:30,23:40,TK,1,250,514
71,2023-12-10,Cluj,Istanbul,2023-12-22,18:30,23:40,TK,1,250,546
72,2023-12-10,Cluj,Istanbul,2023-12-22,18:30,23:40,RO,1,250,552
73,2023-12-10,Cluj,Istanbul,2023-12-22,17:55,00:35,TK,1,340,425
74,2023-12-10,Cluj,Istanbul,2023-12-22,08:40,18:40,RO,1,540,256
75,2023-12-10,Cluj,Istanbul,2023-12-22,08:40,18:40,TK,1,540,262
76,2023-12-10,Cluj,Istanbul,2023-12-22,07:00,12:45,RO,1,285,538
77,2023-12-10,Cluj,Istanbul,2023-12-22,07:00,12:45,TK,1,285,544
78,2023-12-10,Cluj,Istanbul,2023-12-22,06:30,12:45,RO,1,315,487
79,2023-12-10,Cluj,Istanbul,2023-12-22,06:30,12:45,TK,1,315,506
80,2023-12-10,Cluj,Istanbul,2023-12-22,05:25,12:45,H,1,380,412
81,2023-12-10,Cluj,Istanbul,2023-12-22,05:25,12:45,RO,1,380,422
82,2023-12-10,Cluj,Istanbul,2023-12-22,23:30,10:50,H,1,620,246
83,2023-12-10,Cluj,Istanbul,2023-12-22,23:30,10:50,RO,1,620,251
84,2023-12-10,Cluj,Istanbul,2023-12-22,10:45,19:05,H,1,440,424
85,2023-12-10,Cluj,Istanbul,2023-12-22,14:15,23:40,PC,1,505,366
86,2023-12-10,Cluj,Istanbul,2023-12-22,14:15,23:40,H,1,505,371
87,2023-12-10,Cluj,Istanbul,2023-12-22,08:40,17:55,PC,1,495,396
88,2023-12-10,Cluj,Istanbul,2023-12-22,08:40,17:55,A,1,495,401
89,2023-12-10,Cluj,Istanbul,2023-12-22,05:25,18:40,PC,1,735,273
90,2023-12-10,Cluj,Istanbul,2023-12-23,21:45,00:30,AF,0,105,196
91,2023-12-10,Cluj,Istanbul,2023-12-23,05:25,10:50,AF,1,265,250
92,2023-12-10,Cluj,Istanbul,2023-12-23,05:25,10:50,AF,1,265,251
93,2023-12-10,Cluj,Istanbul,2023-12-23,14:15,22:45,AF,1,450,216
94,2023-12-10,Cluj,Istanbul,2023-12-23,14:15,22:45,AF,1,450,228
95,2023-12-10,Cluj,Istanbul,2023-12-23,14:15,23:35,AF,1,500,228
96,2023-12-10,Cluj,Istanbul,2023-12-23,14:15,23:35,TK,1,500,236
97,2023-12-10,Cluj,Istanbul,2023-12-23,20:20,10:20,TK,1,780,179
98,2023-12-10,Cluj,Istanbul,2023-12-23,05:25,12:45,RO,1,380,412
99,2023-12-10,Cluj,Istanbul,2023-12-23,05:25,12:45,RO,1,380,422
100,2023-12-10,Cluj,Istanbul,2023-12-23,14:15,23:35,RO,1,500,350
101,2023-12-10,Cluj,Istanbul,2023-12-23,14:15,22:45,TK,1,450,409
102,2023-12-10,Cluj,Istanbul,2023-12-23,20:10,12:20,RO,1,910,191
103,2023-12-10,Cluj,Istanbul,2023-12-23,07:10,17:20,TK,1,550,335
104,2023-12-10,Cluj,Istanbul,2023-12-23,20:20,10:20,TK,1,780,227
105,2023-12-10,Cluj,Istanbul,2023-12-23,07:10,20:40,TK,1,750,270
106,2023-12-10,Cluj,Istanbul,2023-12-23,14:15,10:20,TK,1,1145,185
107,2023-12-10,Cluj,Istanbul,2023-12-23,20:20,14:15,TK,1,1015,234
108,2023-12-10,Cluj,Istanbul,2023-12-23,20:20,12:45,TK,1,925,272
109,2023-12-10,Cluj,Istanbul,2023-12-23,05:25,18:40,TK,2,735,282
110,2023-12-10,Cluj,Istanbul,2023-12-23,05:25,22:45,TK,1,980,258
111,2023-12-10,Cluj,Istanbul,2023-12-23,14:15,10:20,TK,1,1145,223
112,2023-12-10,Cluj,Istanbul,2023-12-23,05:25,18:30,RO,2,725,301
113,2023-12-10,Cluj,Istanbul,2023-12-23,20:20,12:45,RO,1,925,297
114,2023-12-10,Cluj,Istanbul,2023-12-23,05:25,17:55,RO,1,690,412
115,2023-12-10,Cluj,Istanbul,2023-12-23,05:25,20:30,TK,2,845,274
116,2023-12-10,Cluj,Istanbul,2023-12-23,05:25,19:30,RO,2,785,301
117,2023-12-10,Cluj,Istanbul,2023-12-23,05:25,20:45,TK,2,860,279
118,2023-12-10,Cluj,Istanbul,2023-12-23,20:20,18:40,RO,1,1280,226
119,2023-12-10,Cluj,Istanbul,2023-12-23,14:15,12:45,RO,1,1290,224
120,2023-12-10,Cluj,Istanbul,2023-12-26,21:45,00:30,AF,0,105,279
121,2023-12-10,Cluj,Istanbul,2023-12-26,17:00,23:35,AF,1,335,309
122,2023-12-10,Cluj,Istanbul,2023-12-26,17:00,23:25,AF,1,325,316
123,2023-12-10,Cluj,Istanbul,2023-12-26,06:20,21:30,AF,1,850,244
124,2023-12-10,Cluj,Istanbul,2023-12-26,06:00,18:30,AF,1,690,307
125,2023-12-10,Cluj,Istanbul,2023-12-26,07:10,18:05,AF,1,595,363
126,2023-12-10,Cluj,Istanbul,2023-12-26,06:00,16:50,TK,1,590,373
127,2023-12-10,Cluj,Istanbul,2023-12-26,07:10,17:20,TK,1,550,423
128,2023-12-10,Cluj,Istanbul,2023-12-26,19:50,10:50,H,1,840,261
129,2023-12-10,Cluj,Istanbul,2023-12-26,19:50,10:50,TK,1,840,267
130,2023-12-10,Cluj,Istanbul,2023-12-26,06:00,21:25,H,2,865,225
131,2023-12-10,Cluj,Istanbul,2023-12-26,07:10,19:50,TK,2,700,316
132,2023-12-10,Cluj,Istanbul,2023-12-26,20:10,17:20,H,1,1210,232
133,2023-12-10,Cluj,Istanbul,2023-12-26,20:10,20:45,RO,1,1415,197
134,2023-12-10,Cluj,Istanbul,2023-12-26,19:50,14:00,H,1,1030,284
135,2023-12-10,Cluj,Istanbul,2023-12-26,07:00,19:50,RO,2,710,331
136,2023-12-10,Cluj,Istanbul,2023-12-26,20:10,19:10,W,1,1320,222
137,2023-12-10,Cluj,Istanbul,2023-12-26,17:00,14:00,W,1,1200,259
138,2023-12-10,Cluj,Istanbul,2023-12-26,06:30,17:55,W,1,625,531
139,2023-12-10,Cluj,Istanbul,2023-12-26,20:25,16:50,W,1,1165,285
140,2023-12-10,Cluj,Istanbul,2023-12-26,06:00,17:05,W,1,605,574
141,2023-12-10,Cluj,Istanbul,2023-12-26,06:20,00:05,PC,2,1005,279
142,2023-12-10,Cluj,Istanbul,2023-12-26,17:00,14:00,W,1,1200,302
143,2023-12-10,Cluj,Istanbul,2023-12-26,20:10,20:30,PC,2,1400,198
144,2023-12-10,Cluj,Istanbul,2023-12-26,19:50,18:40,W,1,1310,273
145,2023-12-10,Cluj,Istanbul,2023-12-26,19:50,12:45,TK,1,955,406
146,2023-12-10,Cluj,Istanbul,2023-12-26,14:20,18:30,W,1,1630,235
147,2023-12-10,Cluj,Istanbul,2023-12-26,07:10,22:35,TK,2,865,365
148,2023-12-10,Cluj,Istanbul,2023-12-26,06:20,00:45,W,2,1045,304
149,2023-12-10,Cluj,Istanbul,2023-12-26,17:00,10:50,PC,1,1010,415
150,2023-12-10,Istanbul,Cluj,2023-12-26,20:15,20:55,AF,0,100,142
151,2023-12-10,Istanbul,Cluj,2023-12-26,19:30,21:50,AF,1,200,301
152,2023-12-10,Istanbul,Cluj,2023-12-26,14:20,19:10,AF,1,350,212
153,2023-12-10,Istanbul,Cluj,2023-12-26,14:20,19:10,AF,1,350,213
154,2023-12-10,Istanbul,Cluj,2023-12-26,14:20,19:10,AF,1,350,224
155,2023-12-10,Istanbul,Cluj,2023-12-26,14:20,21:50,AF,1,510,183
156,2023-12-10,Istanbul,Cluj,2023-12-26,11:40,19:10,TK,1,510,173
157,2023-12-10,Istanbul,Cluj,2023-12-26,14:20,21:50,TK,1,510,216
158,2023-12-10,Istanbul,Cluj,2023-12-26,16:40,00:45,RO,1,545,209
159,2023-12-10,Istanbul,Cluj,2023-12-26,10:35,00:50,H,1,915,119
160,2023-12-10,Istanbul,Cluj,2023-12-26,11:40,19:10,RO,1,510,224
161,2023-12-10,Istanbul,Cluj,2023-12-26,11:10,00:50,H,1,880,127
162,2023-12-10,Istanbul,Cluj,2023-12-26,11:40,19:10,TK,1,510,234
163,2023-12-10,Istanbul,Cluj,2023-12-26,10:25,19:50,RO,1,625,206
164,2023-12-10,Istanbul,Cluj,2023-12-26,14:20,21:50,TK,1,510,260
165,2023-12-10,Istanbul,Cluj,2023-12-26,14:20,21:50,RO,1,510,290
166,2023-12-10,Istanbul,Cluj,2023-12-26,11:40,21:50,RO,1,670,216
167,2023-12-10,Istanbul,Cluj,2023-12-26,09:15,17:35,RO,1,560,267
168,2023-12-10,Istanbul,Cluj,2023-12-26,08:35,19:10,TK,1,695,212
169,2023-12-10,Istanbul,Cluj,2023-12-26,11:35,19:10,TK,2,515,233
170,2023-12-10,Istanbul,Cluj,2023-12-26,08:35,19:10,TK,1,695,214
171,2023-12-10,Istanbul,Cluj,2023-12-26,08:35,19:10,H,1,695,224
172,2023-12-10,Istanbul,Cluj,2023-12-26,08:35,21:50,TK,1,855,186
173,2023-12-10,Istanbul,Cluj,2023-12-26,11:40,21:50,H,1,670,246
174,2023-12-10,Istanbul,Cluj,2023-12-26,11:35,00:45,RO,2,850,146
175,2023-12-10,Istanbul,Cluj,2023-12-26,11:40,21:50,RO,1,670,268
176,2023-12-10,Istanbul,Cluj,2023-12-26,11:35,21:50,TK,2,675,207
177,2023-12-10,Istanbul,Cluj,2023-12-26,19:30,08:00,A,1,810,214
178,2023-12-10,Istanbul,Cluj,2023-12-26,14:20,00:50,TK,2,690,210
179,2023-12-10,Istanbul,Cluj,2023-12-26,19:30,08:00,A,1,810,219
180,2023-12-10,Cluj,Istanbul,2023-12-27,09:30,12:20,AF,0,110,299
181,2023-12-10,Cluj,Istanbul,2023-12-27,14:15,18:40,AF,1,205,243
182,2023-12-10,Cluj,Istanbul,2023-12-27,14:15,18:40,AF,1,205,251
183,2023-12-10,Cluj,Istanbul,2023-12-27,14:15,18:40,AF,1,205,262
184,2023-12-10,Cluj,Istanbul,2023-12-27,08:40,14:00,AF,1,260,270
185,2023-12-10,Cluj,Istanbul,2023-12-27,18:30,23:25,AF,1,235,352
186,2023-12-10,Cluj,Istanbul,2023-12-27,07:00,14:00,TK,1,360,243
187,2023-12-10,Cluj,Istanbul,2023-12-27,07:00,14:00,TK,1,360,287
188,2023-12-10,Cluj,Istanbul,2023-12-27,18:30,23:35,TK,1,245,482
189,2023-12-10,Cluj,Istanbul,2023-12-27,08:40,18:40,TK,1,540,243
