,date_of_enquiry,departure,destination,flight_date,flight_time,arrival_time,airline,layovers,flight_duration,price
0,2023-12-13,Bucuresti,Istanbul,2023-12-20,11:35,14:00,AF,0,85,86
1,2023-12-13,Bucuresti,Istanbul,2023-12-20,16:25,18:40,AF,0,75,136
2,2023-12-13,Bucuresti,Istanbul,2023-12-20,16:25,18:40,AF,0,75,84
3,2023-12-13,Bucuresti,Istanbul,2023-12-20,15:25,17:55,AF,0,90,111
4,2023-12-13,Bucuresti,Istanbul,2023-12-20,10:15,12:45,AF,0,90,237
5,2023-12-13,Bucuresti,Istanbul,2023-12-20,21:10,23:35,AF,0,85,282
6,2023-12-13,Bucuresti,Istanbul,2023-12-20,10:15,12:45,PC,0,90,144
7,2023-12-13,Bucuresti,Istanbul,2023-12-20,21:10,23:35,PC,0,85,166
8,2023-12-13,Bucuresti,Istanbul,2023-12-20,15:25,17:55,RO,0,90,156
9,2023-12-13,Bucuresti,Istanbul,2023-12-20,13:40,20:50,RO,1,370,111
10,2023-12-13,Bucuresti,Istanbul,2023-12-20,20:15,06:45,TK,1,570,242
11,2023-12-13,Bucuresti,Istanbul,2023-12-20,07:40,17:05,TK,1,505,247
12,2023-12-13,Bucuresti,Istanbul,2023-12-20,10:45,16:00,TK,1,255,264
13,2023-12-13,Bucuresti,Istanbul,2023-12-20,16:05,21:40,TK,1,275,213
14,2023-12-13,Bucuresti,Istanbul,2023-12-20,07:40,18:10,TK,1,570,80
15,2023-12-13,Bucuresti,Istanbul,2023-12-20,10:45,20:50,TK,1,545,356
16,2023-12-13,Bucuresti,Istanbul,2023-12-20,06:30,17:20,TK,1,590,204
17,2023-12-13,Bucuresti,Istanbul,2023-12-20,07:40,22:20,TK,1,820,165
18,2023-12-13,Bucuresti,Istanbul,2023-12-20,08:00,15:55,RO,1,415,332
19,2023-12-13,Bucuresti,Istanbul,2023-12-20,08:00,15:55,RO,1,415,173
20,2023-12-13,Bucuresti,Istanbul,2023-12-21,17:25,19:50,AF,0,85,128
21,2023-12-13,Bucuresti,Istanbul,2023-12-21,08:35,10:50,AF,0,75,182
22,2023-12-13,Bucuresti,Istanbul,2023-12-21,08:35,10:50,AF,0,75,214
23,2023-12-13,Bucuresti,Istanbul,2023-12-21,15:25,17:55,AF,0,90,191
24,2023-12-13,Bucuresti,Istanbul,2023-12-21,21:10,23:35,AF,0,85,246
25,2023-12-13,Bucuresti,Istanbul,2023-12-21,15:50,18:40,AF,0,110,200
26,2023-12-13,Bucuresti,Istanbul,2023-12-21,21:10,23:35,PC,0,85,300
27,2023-12-13,Bucuresti,Istanbul,2023-12-21,15:50,18:40,PC,0,110,236
28,2023-12-13,Bucuresti,Istanbul,2023-12-21,15:25,17:55,RO,0,90,324
29,2023-12-13,Bucuresti,Istanbul,2023-12-21,10:15,12:45,RO,0,90,371
30,2023-12-13,Bucuresti,Istanbul,2023-12-21,10:15,12:45,TK,0,90,376
31,2023-12-13,Bucuresti,Istanbul,2023-12-21,14:15,20:00,TK,1,285,101
32,2023-12-13,Bucuresti,Istanbul,2023-12-21,14:10,20:00,TK,1,290,106
33,2023-12-13,Bucuresti,Istanbul,2023-12-21,07:30,17:05,TK,1,515,109
34,2023-12-13,Bucuresti,Istanbul,2023-12-21,12:55,22:00,TK,1,485,120
35,2023-12-13,Bucuresti,Istanbul,2023-12-21,07:00,17:05,TK,1,545,120
36,2023-12-13,Bucuresti,Istanbul,2023-12-21,04:45,10:50,RO,1,305,242
37,2023-12-13,Bucuresti,Istanbul,2023-12-21,14:10,06:05,RO,1,895,72
38,2023-12-13,Bucuresti,Istanbul,2023-12-21,07:30,17:55,RO,1,565,134
39,2023-12-13,Bucuresti,Istanbul,2023-12-21,10:45,16:00,RO,1,255,354
40,2023-12-13,Bucuresti,Istanbul,2023-12-22,10:55,13:20,AF,0,85,127
41,2023-12-13,Bucuresti,Istanbul,2023-12-22,16:25,18:40,AF,0,75,259
42,2023-12-13,Bucuresti,Istanbul,2023-12-22,08:35,10:50,AF,0,75,266
43,2023-12-13,Bucuresti,Istanbul,2023-12-22,16:25,18:40,AF,0,75,267
44,2023-12-13,Bucuresti,Istanbul,2023-12-22,08:35,10:50,AF,0,75,284
45,2023-12-13,Bucuresti,Istanbul,2023-12-22,21:15,23:40,AF,0,85,394
46,2023-12-13,Bucuresti,Istanbul,2023-12-22,10:15,12:45,PC,0,90,371
47,2023-12-13,Bucuresti,Istanbul,2023-12-22,10:15,12:45,PC,0,90,376
48,2023-12-13,Bucuresti,Istanbul,2023-12-22,15:25,17:55,RO,0,90,394
49,2023-12-13,Bucuresti,Istanbul,2023-12-22,15:25,17:55,RO,0,90,480
50,2023-12-13,Bucuresti,Istanbul,2023-12-22,21:15,23:40,TK,0,85,528
51,2023-12-13,Bucuresti,Istanbul,2023-12-22,13:40,20:30,TK,1,350,142
52,2023-12-13,Bucuresti,Istanbul,2023-12-22,10:45,20:30,TK,1,525,148
53,2023-12-13,Bucuresti,Istanbul,2023-12-22,04:45,10:50,TK,1,305,282
54,2023-12-13,Bucuresti,Istanbul,2023-12-22,16:05,22:50,RO,1,345,280
55,2023-12-13,Bucuresti,Istanbul,2023-12-22,10:45,16:00,RO,1,255,424
56,2023-12-13,Bucuresti,Istanbul,2023-12-22,07:40,18:25,TK,1,585,185
57,2023-12-13,Bucuresti,Istanbul,2023-12-22,13:40,20:50,TK,1,370,312
58,2023-12-13,Bucuresti,Istanbul,2023-12-22,16:05,22:50,RO,1,345,332
59,2023-12-13,Bucuresti,Istanbul,2023-12-22,16:05,21:40,RO,1,275,432
60,2023-12-13,Bucuresti,Istanbul,2023-12-23,20:30,22:45,AF,0,75,182
61,2023-12-13,Bucuresti,Istanbul,2023-12-23,08:35,10:50,AF,0,75,206
