,date_of_enquiry,departure,destination,flight_date,flight_time,arrival_time,airline,layovers,flight_duration,price
0,2023-12-18,Bucuresti,Istanbul,2023-12-20,16:25,18:40,AF,0,75,220
1,2023-12-18,Bucuresti,Istanbul,2023-12-20,16:25,18:40,AF,0,75,549
2,2023-12-18,Bucuresti,Istanbul,2023-12-20,11:35,14:00,AF,0,85,424
3,2023-12-18,Bucuresti,Istanbul,2023-12-20,15:25,17:55,AF,0,90,480
4,2023-12-18,Bucuresti,Istanbul,2023-12-20,10:15,12:45,AF,0,90,110
5,2023-12-18,Bucuresti,Istanbul,2023-12-20,10:15,12:45,AF,0,90,220
6,2023-12-18,Bucuresti,Istanbul,2023-12-20,21:10,23:35,RO,0,85,322
7,2023-12-18,Bucuresti,Istanbul,2023-12-20,15:25,17:55,RO,0,90,246
8,2023-12-18,Bucuresti,Istanbul,2023-12-20,21:10,23:35,TK,0,85,509
9,2023-12-18,Bucuresti,Istanbul,2023-12-20,08:00,10:50,TK,0,110,221
10,2023-12-18,Bucuresti,Istanbul,2023-12-20,08:00,10:50,PC,0,110,375
11,2023-12-18,Bucuresti,Istanbul,2023-12-20,20:15,06:45,PC,1,570,322
12,2023-12-18,Bucuresti,Istanbul,2023-12-20,13:40,20:50,TK,1,370,190
13,2023-12-18,Bucuresti,Istanbul,2023-12-20,16:05,21:40,TK,1,275,327
14,2023-12-18,Bucuresti,Istanbul,2023-12-20,07:40,17:05,TK,1,505,192
15,2023-12-18,Bucuresti,Istanbul,2023-12-20,10:45,16:00,TK,1,255,272
16,2023-12-18,Bucuresti,Istanbul,2023-12-20,07:40,18:10,RO,1,570,212
17,2023-12-18,Bucuresti,Istanbul,2023-12-20,13:40,20:50,RO,1,370,121
18,2023-12-18,Bucuresti,Istanbul,2023-12-20,08:00,15:55,TK,1,415,412
19,2023-12-18,Bucuresti,Istanbul,2023-12-20,06:25,18:55,TK,1,690,540
20,2023-12-18,Bucuresti,Istanbul,2023-12-21,17:25,19:50,AF,0,85,173
21,2023-12-18,Bucuresti,Istanbul,2023-12-21,08:35,10:50,AF,0,75,202
22,2023-12-18,Bucuresti,Istanbul,2023-12-21,08:35,10:50,AF,0,75,214
23,2023-12-18,Bucuresti,Istanbul,2023-12-21,15:50,18:40,AF,0,110,202
24,2023-12-18,Bucuresti,Istanbul,2023-12-21,15:50,18:40,AF,0,110,214
25,2023-12-18,Bucuresti,Istanbul,2023-12-21,21:10,23:35,AF,0,85,391
26,2023-12-18,Bucuresti,Istanbul,2023-12-21,21:10,23:35,PC,0,85,394
27,2023-12-18,Bucuresti,Istanbul,2023-12-21,10:15,12:45,PC,0,90,391
28,2023-12-18,Bucuresti,Istanbul,2023-12-21,15:25,17:55,RO,0,90,394
29,2023-12-18,Bucuresti,Istanbul,2023-12-21,10:15,12:45,RO,0,90,394
30,2023-12-18,Bucuresti,Istanbul,2023-12-21,15:25,17:55,TK,0,90,501
31,2023-12-18,Bucuresti,Istanbul,2023-12-21,04:45,10:50,TK,1,305,322
32,2023-12-18,Bucuresti,Istanbul,2023-12-21,07:30,17:05,RO,1,515,188
33,2023-12-18,Bucuresti,Istanbul,2023-12-21,07:00,17:05,RO,1,545,177
34,2023-12-18,Bucuresti,Istanbul,2023-12-21,12:55,22:00,TK,1,485,207
35,2023-12-18,Bucuresti,Istanbul,2023-12-21,14:10,22:35,TK,1,445,230
36,2023-12-18,Bucuresti,Istanbul,2023-12-21,14:10,06:05,RO,1,895,105
37,2023-12-18,Bucuresti,Istanbul,2023-12-21,10:45,16:00,RO,1,255,425
38,2023-12-18,Bucuresti,Istanbul,2023-12-21,07:00,17:55,TK,1,595,180
39,2023-12-18,Bucuresti,Istanbul,2023-12-21,07:30,17:55,TK,1,565,191
40,2023-12-18,Bucuresti,Istanbul,2023-12-22,10:55,13:20,AF,0,85,194
41,2023-12-18,Bucuresti,Istanbul,2023-12-22,16:25,18:40,AF,0,75,264
42,2023-12-18,Bucuresti,Istanbul,2023-12-22,08:35,10:50,AF,0,75,264
43,2023-12-18,Bucuresti,Istanbul,2023-12-22,15:25,17:55,AF,0,90,216
44,2023-12-18,Bucuresti,Istanbul,2023-12-22,16:25,18:40,AF,0,75,266
45,2023-12-18,Bucuresti,Istanbul,2023-12-22,08:35,10:50,AF,0,75,266
46,2023-12-18,Bucuresti,Istanbul,2023-12-22,21:15,23:40,PC,0,85,394
47,2023-12-18,Bucuresti,Istanbul,2023-12-22,15:25,17:55,PC,0,90,392
48,2023-12-18,Bucuresti,Istanbul,2023-12-22,10:15,12:45,TK,0,90,397
49,2023-12-18,Bucuresti,Istanbul,2023-12-22,21:15,23:40,TK,0,85,549
50,2023-12-18,Bucuresti,Istanbul,2023-12-22,13:40,20:30,TK,1,350,174
51,2023-12-18,Bucuresti,Istanbul,2023-12-22,04:45,10:50,TK,1,305,282
52,2023-12-18,Bucuresti,Istanbul,2023-12-22,10:45,16:00,TK,1,255,355
53,2023-12-18,Bucuresti,Istanbul,2023-12-22,10:45,17:55,TK,1,370,262
54,2023-12-18,Bucuresti,Istanbul,2023-12-22,13:40,20:50,TK,1,370,301
55,2023-12-18,Bucuresti,Istanbul,2023-12-22,13:40,23:40,TK,1,540,206
56,2023-12-18,Bucuresti,Istanbul,2023-12-22,16:05,22:50,TK,1,345,343
57,2023-12-18,Bucuresti,Istanbul,2023-12-22,16:05,21:40,TK,1,275,432
58,2023-12-18,Bucuresti,Istanbul,2023-12-22,16:40,23:40,TK,1,360,335
59,2023-12-18,Bucuresti,Istanbul,2023-12-22,10:45,20:30,TK,1,525,222
60,2023-12-18,Bucuresti,Istanbul,2023-12-23,20:30,22:45,AF,0,75,190
61,2023-12-18,Bucuresti,Istanbul,2023-12-23,20:30,22:45,AF,0,75,205
62,2023-12-18,Bucuresti,Istanbul,2023-12-23,21:10,23:35,AF,0,85,190
63,2023-12-18,Bucuresti,Istanbul,2023-12-23,21:10,23:35,AF,0,85,243
64,2023-12-18,Bucuresti,Istanbul,2023-12-23,08:35,10:50,AF,0,75,393
65,2023-12-18,Bucuresti,Istanbul,2023-12-23,10:15,12:45,AF,0,90,391
66,2023-12-18,Bucuresti,Istanbul,2023-12-23,08:35,10:50,RO,0,75,480
67,2023-12-18,Bucuresti,Istanbul,2023-12-23,15:25,17:55,RO,0,90,394
68,2023-12-18,Bucuresti,Istanbul,2023-12-23,10:15,12:45,TK,0,90,398
69,2023-12-18,Bucuresti,Istanbul,2023-12-23,15:25,17:55,TK,0,90,501
70,2023-12-18,Bucuresti,Istanbul,2023-12-23,14:10,21:40,TK,1,390,99
71,2023-12-18,Bucuresti,Istanbul,2023-12-23,12:10,18:30,TK,1,320,185
72,2023-12-18,Bucuresti,Istanbul,2023-12-23,12:10,18:40,RO,1,330,194
73,2023-12-18,Bucuresti,Istanbul,2023-12-23,12:10,19:30,RO,1,380,181
74,2023-12-18,Bucuresti,Istanbul,2023-12-23,12:10,20:45,RO,1,455,168
75,2023-12-18,Bucuresti,Istanbul,2023-12-23,12:10,20:30,RO,1,440,181
76,2023-12-18,Bucuresti,Istanbul,2023-12-23,12:10,20:30,RO,1,440,187
