,date_of_enquiry,departure,destination,flight_date,flight_time,arrival_time,airline,layovers,flight_duration,price
0,2023-12-11,Cluj,Istanbul,2023-12-20,09:30,12:20,AF,0,110,299
1,2023-12-11,Cluj,Istanbul,2023-12-20,14:15,18:40,AF,1,205,179
2,2023-12-11,Cluj,Istanbul,2023-12-20,14:15,18:40,AF,1,205,211
3,2023-12-11,Cluj,Istanbul,2023-12-20,14:15,18:40,AF,1,205,221
4,2023-12-11,Cluj,Istanbul,2023-12-20,08:40,14:00,AF,1,260,230
5,2023-12-11,Cluj,Istanbul,2023-12-20,18:30,23:35,AF,1,245,367
6,2023-12-11,Cluj,Istanbul,2023-12-20,07:00,12:45,TK,1,285,349
7,2023-12-11,Cluj,Istanbul,2023-12-20,08:40,18:40,TK,1,540,179
8,2023-12-11,Cluj,Istanbul,2023-12-20,08:40,17:55,RO,1,495,215
9,2023-12-11,Cluj,Istanbul,2023-12-20,08:40,18:40,RO,1,540,211
10,2023-12-11,Cluj,Istanbul,2023-12-20,08:40,18:40,TK,1,540,221
11,2023-12-11,Cluj,Istanbul,2023-12-20,08:40,17:55,TK,1,495,251
12,2023-12-11,Cluj,Istanbul,2023-12-20,06:10,16:50,RO,1,580,221
13,2023-12-11,Cluj,Istanbul,2023-12-20,14:15,23:35,TK,1,500,291
14,2023-12-11,Cluj,Istanbul,2023-12-20,14:15,23:35,RO,1,500,301
15,2023-12-11,Cluj,Istanbul,2023-12-20,14:15,23:35,TK,1,500,326
16,2023-12-11,Cluj,Istanbul,2023-12-20,07:30,21:00,RO,1,750,232
17,2023-12-11,Cluj,Istanbul,2023-12-20,10:45,19:30,PC,1,465,390
18,2023-12-11,Cluj,Istanbul,2023-12-20,07:00,18:40,RO,1,640,267
19,2023-12-11,Cluj,Istanbul,2023-12-20,10:45,23:10,PC,1,685,267
20,2023-12-11,Cluj,Istanbul,2023-12-20,15:05,06:45,H,2,880,155
21,2023-12-11,Cluj,Istanbul,2023-12-20,13:55,23:10,RO,2,495,296
22,2023-12-11,Cluj,Istanbul,2023-12-20,08:40,17:55,H,1,495,374
23,2023-12-11,Cluj,Istanbul,2023-12-20,19:50,10:50,RO,1,840,208
24,2023-12-11,Cluj,Istanbul,2023-12-20,10:45,18:00,H,1,375,534
25,2023-12-11,Cluj,Istanbul,2023-12-20,19:50,10:50,RO,1,840,221
26,2023-12-11,Cluj,Istanbul,2023-12-20,13:55,00:35,H,1,580,371
27,2023-12-11,Cluj,Istanbul,2023-12-20,14:15,06:45,RO,2,930,190
28,2023-12-11,Cluj,Istanbul,2023-12-20,15:05,06:45,RO,2,880,214
29,2023-12-11,Cluj,Istanbul,2023-12-20,18:30,10:50,RO,1,920,256
30,2023-12-11,Cluj,Istanbul,2023-12-21,21:45,00:30,AF,0,105,191
31,2023-12-11,Cluj,Istanbul,2023-12-21,05:25,10:50,AF,1,265,208
32,2023-12-11,Cluj,Istanbul,2023-12-21,05:25,10:50,AF,1,265,221
33,2023-12-11,Cluj,Istanbul,2023-12-21,14:15,19:50,AF,1,275,284
34,2023-12-11,Cluj,Istanbul,2023-12-21,19:00,23:35,AF,1,215,433
35,2023-12-11,Cluj,Istanbul,2023-12-21,07:00,12:45,AF,1,285,461
36,2023-12-11,Cluj,Istanbul,2023-12-21,08:40,18:40,TK,1,540,223
37,2023-12-11,Cluj,Istanbul,2023-12-21,08:40,18:40,TK,1,540,231
38,2023-12-11,Cluj,Istanbul,2023-12-21,07:00,12:45,RO,1,285,493
39,2023-12-11,Cluj,Istanbul,2023-12-21,07:00,12:45,RO,1,285,499
40,2023-12-11,Cluj,Istanbul,2023-12-21,17:00,23:35,RO,1,335,435
41,2023-12-11,Cluj,Istanbul,2023-12-21,06:00,16:50,TK,1,590,239
42,2023-12-11,Cluj,Istanbul,2023-12-21,07:10,17:20,RO,1,550,260
43,2023-12-11,Cluj,Istanbul,2023-12-21,07:00,12:45,TK,1,285,531
44,2023-12-11,Cluj,Istanbul,2023-12-21,07:10,18:15,RO,1,605,240
45,2023-12-11,Cluj,Istanbul,2023-12-21,14:15,23:35,PC,1,500,300
46,2023-12-11,Cluj,Istanbul,2023-12-21,05:25,12:45,RO,1,380,406
47,2023-12-11,Cluj,Istanbul,2023-12-21,17:00,23:35,PC,1,335,478
48,2023-12-11,Cluj,Istanbul,2023-12-21,08:40,17:55,H,1,495,311
49,2023-12-11,Cluj,Istanbul,2023-12-21,05:25,12:45,RO,1,380,422
50,2023-12-11,Cluj,Istanbul,2023-12-21,14:15,23:35,H,1,500,337
51,2023-12-11,Cluj,Istanbul,2023-12-21,08:40,19:50,RO,1,610,290
52,2023-12-11,Cluj,Istanbul,2023-12-21,08:40,17:55,H,1,495,360
53,2023-12-11,Cluj,Istanbul,2023-12-21,07:00,19:50,RO,1,710,251
54,2023-12-11,Cluj,Istanbul,2023-12-21,14:15,23:35,H,1,500,374
55,2023-12-11,Cluj,Istanbul,2023-12-21,05:25,18:40,RO,1,735,248
56,2023-12-11,Cluj,Istanbul,2023-12-21,08:40,18:40,TK,1,540,376
57,2023-12-11,Cluj,Istanbul,2023-12-21,21:50,10:50,TK,1,720,267
58,2023-12-11,Cluj,Istanbul,2023-12-21,07:00,18:40,TK,1,640,309
59,2023-12-11,Cluj,Istanbul,2023-12-21,07:00,19:50,TK,1,710,295
60,2023-12-11,Cluj,Istanbul,2023-12-22,09:30,12:20,AF,0,110,277
61,2023-12-11,Cluj,Istanbul,2023-12-22,14:15,18:40,AF,1,205,262
62,2023-12-11,Cluj,Istanbul,2023-12-22,14:15,18:40,AF,1,205,325
63,2023-12-11,Cluj,Istanbul,2023-12-22,05:25,10:50,AF,1,265,273
64,2023-12-11,Cluj,Istanbul,2023-12-22,06:30,10:50,AF,1,200,375
65,2023-12-11,Cluj,Istanbul,2023-12-22,06:30,13:20,AF,1,350,259
66,2023-12-11,Cluj,Istanbul,2023-12-22,07:00,13:20,TK,1,320,319
67,2023-12-11,Cluj,Istanbul,2023-12-22,05:25,10:50,TK,1,265,397
68,2023-12-11,Cluj,Istanbul,2023-12-22,05:25,13:20,TK,1,415,270
69,2023-12-11,Cluj,Istanbul,2023-12-22,18:30,23:40,TK,1,250,494
70,2023-12-11,Cluj,Istanbul,2023-12-22,18:30,23:40,TK,1,250,514
71,2023-12-11,Cluj,Istanbul,2023-12-22,18:30,23:40,TK,1,250,546
72,2023-12-11,Cluj,Istanbul,2023-12-22,18:30,23:40,RO,1,250,552
73,2023-12-11,Cluj,Istanbul,2023-12-22,17:55,00:35,TK,1,340,425
74,2023-12-11,Cluj,Istanbul,2023-12-22,08:40,18:40,RO,1,540,256
75,2023-12-11,Cluj,Istanbul,2023-12-22,08:40,18:40,TK,1,540,262
76,2023-12-11,Cluj,Istanbul,2023-12-22,07:00,12:45,H,1,285,538
77,2023-12-11,Cluj,Istanbul,2023-12-22,07:00,12:45,RO,1,285,544
78,2023-12-11,Cluj,Istanbul,2023-12-22,06:30,12:45,H,1,315,487
79,2023-12-11,Cluj,Istanbul,2023-12-22,06:30,12:45,RO,1,315,506
80,2023-12-11,Cluj,Istanbul,2023-12-22,05:25,12:45,H,1,380,412
81,2023-12-11,Cluj,Istanbul,2023-12-22,05:25,12:45,PC,1,380,422
82,2023-12-11,Cluj,Istanbul,2023-12-22,23:30,10:50,H,1,620,246
83,2023-12-11,Cluj,Istanbul,2023-12-22,23:30,10:50,PC,1,620,251
84,2023-12-11,Cluj,Istanbul,2023-12-22,10:45,19:05,A,1,440,424
85,2023-12-11,Cluj,Istanbul,2023-12-22,14:15,23:40,PC,1,505,365
86,2023-12-11,Cluj,Istanbul,2023-12-22,14:15,23:40,A,1,505,371
87,2023-12-11,Cluj,Istanbul,2023-12-22,08:40,17:55,PC,1,495,395
88,2023-12-11,Cluj,Istanbul,2023-12-22,08:40,17:55,RO,1,495,401
