,date_of_enquiry,departure,destination,flight_date,flight_time,arrival_time,airline,layovers,flight_duration,price
0,2023-12-10,Bucuresti,Istanbul,2023-12-20,11:35,14:00,AF,0,85,107
1,2023-12-10,Bucuresti,Istanbul,2023-12-20,16:25,18:40,AF,0,75,129
2,2023-12-10,Bucuresti,Istanbul,2023-12-20,16:25,18:40,AF,0,75,167
3,2023-12-10,Bucuresti,Istanbul,2023-12-20,10:15,12:45,AF,0,90,159
4,2023-12-10,Bucuresti,Istanbul,2023-12-20,15:25,17:55,AF,0,90,159
5,2023-12-10,Bucuresti,Istanbul,2023-12-20,21:10,23:35,AF,0,85,216
6,2023-12-10,Bucuresti,Istanbul,2023-12-20,10:15,12:45,PC,0,90,241
7,2023-12-10,Bucuresti,Istanbul,2023-12-20,21:10,23:35,PC,0,85,276
8,2023-12-10,Bucuresti,Istanbul,2023-12-20,15:25,17:55,RO,0,90,324
9,2023-12-10,Bucuresti,Istanbul,2023-12-20,20:15,06:45,RO,1,570,68
10,2023-12-10,Bucuresti,Istanbul,2023-12-20,10:45,16:00,TK,1,255,237
11,2023-12-10,Bucuresti,Istanbul,2023-12-20,16:05,21:40,TK,1,275,242
12,2023-12-10,Bucuresti,Istanbul,2023-12-20,13:40,20:50,TK,1,370,182
13,2023-12-10,Bucuresti,Istanbul,2023-12-20,07:40,18:10,TK,1,570,128
14,2023-12-10,Bucuresti,Istanbul,2023-12-20,07:40,17:05,TK,1,505,153
15,2023-12-10,Bucuresti,Istanbul,2023-12-20,10:45,17:55,TK,1,370,236
16,2023-12-10,Bucuresti,Istanbul,2023-12-20,08:00,15:55,TK,1,415,212
17,2023-12-10,Bucuresti,Istanbul,2023-12-20,08:00,15:55,TK,1,415,242
18,2023-12-10,Bucuresti,Istanbul,2023-12-20,08:00,16:30,RO,1,450,247
19,2023-12-10,Bucuresti,Istanbul,2023-12-20,10:45,20:50,RO,1,545,213
20,2023-12-10,Bucuresti,Istanbul,2023-12-20,10:45,17:55,RO,1,370,324
21,2023-12-10,Bucuresti,Istanbul,2023-12-20,21:05,12:10,RO,1,845,143
22,2023-12-10,Bucuresti,Istanbul,2023-12-20,06:25,21:00,RO,1,815,151
23,2023-12-10,Bucuresti,Istanbul,2023-12-20,08:00,16:30,RO,1,450,315
24,2023-12-10,Bucuresti,Istanbul,2023-12-20,18:30,09:30,W,1,840,161
25,2023-12-10,Bucuresti,Istanbul,2023-12-20,06:25,18:55,PC,1,690,208
26,2023-12-10,Bucuresti,Istanbul,2023-12-20,22:05,09:30,W,1,625,252
27,2023-12-10,Bucuresti,Istanbul,2023-12-20,06:25,18:10,PC,1,645,265
28,2023-12-10,Bucuresti,Istanbul,2023-12-20,16:05,04:20,A,1,675,242
29,2023-12-10,Bucuresti,Istanbul,2023-12-20,20:05,11:35,A,1,870,196
30,2023-12-10,Bucuresti,Istanbul,2023-12-21,08:35,10:50,AF,0,75,158
31,2023-12-10,Bucuresti,Istanbul,2023-12-21,17:25,19:50,AF,0,85,157
32,2023-12-10,Bucuresti,Istanbul,2023-12-21,08:35,10:50,AF,0,75,196
33,2023-12-10,Bucuresti,Istanbul,2023-12-21,15:25,17:55,AF,0,90,245
34,2023-12-10,Bucuresti,Istanbul,2023-12-21,15:50,18:40,AF,0,110,200
35,2023-12-10,Bucuresti,Istanbul,2023-12-21,21:10,23:35,AF,0,85,285
36,2023-12-10,Bucuresti,Istanbul,2023-12-21,15:50,18:40,RO,0,110,236
37,2023-12-10,Bucuresti,Istanbul,2023-12-21,21:10,23:35,RO,0,85,324
38,2023-12-10,Bucuresti,Istanbul,2023-12-21,10:15,12:45,PC,0,90,337
39,2023-12-10,Bucuresti,Istanbul,2023-12-21,10:15,12:45,PC,0,90,372
40,2023-12-10,Bucuresti,Istanbul,2023-12-21,14:15,20:00,TK,1,285,101
41,2023-12-10,Bucuresti,Istanbul,2023-12-21,15:25,17:55,TK,0,90,480
42,2023-12-10,Bucuresti,Istanbul,2023-12-21,14:10,20:00,TK,1,290,106
43,2023-12-10,Bucuresti,Istanbul,2023-12-21,14:15,22:35,TK,1,440,135
44,2023-12-10,Bucuresti,Istanbul,2023-12-21,14:10,22:35,RO,1,445,139
45,2023-12-10,Bucuresti,Istanbul,2023-12-21,14:10,22:35,RO,1,445,140
46,2023-12-10,Bucuresti,Istanbul,2023-12-21,04:45,10:50,TK,1,305,242
47,2023-12-10,Bucuresti,Istanbul,2023-12-21,12:55,22:00,TK,1,485,169
