,date_of_enquiry,departure,destination,flight_date,flight_time,arrival_time,airline,layovers,flight_duration,price
0,2023-12-29,Bucuresti,Istanbul,2023-12-30,20:30,22:45,AF,0,75,424
1,2023-12-29,Bucuresti,Istanbul,2023-12-30,21:10,23:35,AF,0,85,189
2,2023-12-29,Bucuresti,Istanbul,2023-12-30,15:25,17:55,AF,0,90,176
3,2023-12-29,Bucuresti,Istanbul,2023-12-30,10:15,12:45,AF,0,90,171
4,2023-12-29,Bucuresti,Istanbul,2023-12-30,12:10,17:35,AF,1,265,166
5,2023-12-29,Bucuresti,Istanbul,2023-12-30,12:10,18:30,AF,1,320,171
6,2023-12-29,Bucuresti,Istanbul,2023-12-30,12:10,19:30,RO,1,380,162
7,2023-12-29,Bucuresti,Istanbul,2023-12-30,12:10,20:30,RO,1,440,359
8,2023-12-29,Bucuresti,Istanbul,2023-12-30,12:10,20:45,RO,1,455,171
9,2023-12-29,Bucuresti,Istanbul,2023-12-30,12:10,21:30,RO,1,500,162
10,2023-12-29,Bucuresti,Istanbul,2023-12-30,12:10,22:20,RO,1,550,255
11,2023-12-29,Bucuresti,Istanbul,2023-12-30,04:45,10:10,RO,1,265,162
12,2023-12-29,Bucuresti,Istanbul,2023-12-30,12:10,22:25,TK,1,555,260
13,2023-12-29,Bucuresti,Istanbul,2023-12-30,12:10,23:20,TK,1,610,171
14,2023-12-29,Bucuresti,Istanbul,2023-12-30,14:10,21:40,TK,1,390,265
15,2023-12-29,Bucuresti,Istanbul,2023-12-30,12:10,00:05,TK,1,655,428
16,2023-12-29,Bucuresti,Istanbul,2023-12-30,14:10,22:35,PC,1,445,271
17,2023-12-29,Bucuresti,Istanbul,2023-12-30,12:10,00:50,PC,1,700,233
18,2023-12-29,Bucuresti,Istanbul,2023-12-30,11:20,20:25,PC,1,485,333
19,2023-12-29,Bucuresti,Istanbul,2023-12-30,18:15,00:35,TK,1,320,290
20,2023-12-29,Istanbul,Bucuresti,2023-12-30,19:30,19:50,AF,0,80,97
21,2023-12-29,Istanbul,Bucuresti,2023-12-30,11:40,11:55,AF,0,75,144
22,2023-12-29,Istanbul,Bucuresti,2023-12-30,23:35,23:50,AF,0,75,144
